Financing matrix: Node numerical verification only. Browser: NOT RUN.
720 combinations: 6 trade/down profiles × 5 rates × 6 terms × 4 first-payment timings.
Itemization: $30,000 + $300 + $1,200 + $500 + $1,800 + $100 + $75 + $125 − $600 = $33,500 before trade/payoff/cash down.
Oracle uses an independent discounted-payment sum. Estimates assume normalized 30-day periods.
Total payments and cash-plus-payments below are derived checks; not new UI fields or a full TILA total-sale-price calculation.
Projected interest excludes any reclassification of prepaid finance charges.

PASS No trade / 0% / 24 months / 30 days
PASS No trade / 0% / 24 months / 45 days
PASS No trade / 0% / 24 months / 90 days
PASS No trade / 0% / 24 months / 120 days
PASS No trade / 0% / 36 months / 30 days
PASS No trade / 0% / 36 months / 45 days
PASS No trade / 0% / 36 months / 90 days
PASS No trade / 0% / 36 months / 120 days
PASS No trade / 0% / 48 months / 30 days
PASS No trade / 0% / 48 months / 45 days
PASS No trade / 0% / 48 months / 90 days
PASS No trade / 0% / 48 months / 120 days
PASS No trade / 0% / 60 months / 30 days
PASS No trade / 0% / 60 months / 45 days
PASS No trade / 0% / 60 months / 90 days
PASS No trade / 0% / 60 months / 120 days
PASS No trade / 0% / 72 months / 30 days
PASS No trade / 0% / 72 months / 45 days
PASS No trade / 0% / 72 months / 90 days
PASS No trade / 0% / 72 months / 120 days
PASS No trade / 0% / 84 months / 30 days
PASS No trade / 0% / 84 months / 45 days
PASS No trade / 0% / 84 months / 90 days
PASS No trade / 0% / 84 months / 120 days
PASS No trade / 4.9% / 24 months / 30 days
PASS No trade / 4.9% / 24 months / 45 days
PASS No trade / 4.9% / 24 months / 90 days
PASS No trade / 4.9% / 24 months / 120 days
PASS No trade / 4.9% / 36 months / 30 days
PASS No trade / 4.9% / 36 months / 45 days
PASS No trade / 4.9% / 36 months / 90 days
PASS No trade / 4.9% / 36 months / 120 days
PASS No trade / 4.9% / 48 months / 30 days
PASS No trade / 4.9% / 48 months / 45 days
PASS No trade / 4.9% / 48 months / 90 days
PASS No trade / 4.9% / 48 months / 120 days
PASS No trade / 4.9% / 60 months / 30 days
PASS No trade / 4.9% / 60 months / 45 days
PASS No trade / 4.9% / 60 months / 90 days
PASS No trade / 4.9% / 60 months / 120 days
PASS No trade / 4.9% / 72 months / 30 days
PASS No trade / 4.9% / 72 months / 45 days
PASS No trade / 4.9% / 72 months / 90 days
PASS No trade / 4.9% / 72 months / 120 days
PASS No trade / 4.9% / 84 months / 30 days
PASS No trade / 4.9% / 84 months / 45 days
PASS No trade / 4.9% / 84 months / 90 days
PASS No trade / 4.9% / 84 months / 120 days
PASS No trade / 7.95% / 24 months / 30 days
PASS No trade / 7.95% / 24 months / 45 days
PASS No trade / 7.95% / 24 months / 90 days
PASS No trade / 7.95% / 24 months / 120 days
PASS No trade / 7.95% / 36 months / 30 days
PASS No trade / 7.95% / 36 months / 45 days
PASS No trade / 7.95% / 36 months / 90 days
PASS No trade / 7.95% / 36 months / 120 days
PASS No trade / 7.95% / 48 months / 30 days
PASS No trade / 7.95% / 48 months / 45 days
PASS No trade / 7.95% / 48 months / 90 days
PASS No trade / 7.95% / 48 months / 120 days
PASS No trade / 7.95% / 60 months / 30 days
PASS No trade / 7.95% / 60 months / 45 days
PASS No trade / 7.95% / 60 months / 90 days
PASS No trade / 7.95% / 60 months / 120 days
PASS No trade / 7.95% / 72 months / 30 days
PASS No trade / 7.95% / 72 months / 45 days
PASS No trade / 7.95% / 72 months / 90 days
PASS No trade / 7.95% / 72 months / 120 days
PASS No trade / 7.95% / 84 months / 30 days
PASS No trade / 7.95% / 84 months / 45 days
PASS No trade / 7.95% / 84 months / 90 days
PASS No trade / 7.95% / 84 months / 120 days
PASS No trade / 12% / 24 months / 30 days
PASS No trade / 12% / 24 months / 45 days
PASS No trade / 12% / 24 months / 90 days
PASS No trade / 12% / 24 months / 120 days
PASS No trade / 12% / 36 months / 30 days
PASS No trade / 12% / 36 months / 45 days
PASS No trade / 12% / 36 months / 90 days
PASS No trade / 12% / 36 months / 120 days
PASS No trade / 12% / 48 months / 30 days
PASS No trade / 12% / 48 months / 45 days
PASS No trade / 12% / 48 months / 90 days
PASS No trade / 12% / 48 months / 120 days
PASS No trade / 12% / 60 months / 30 days
PASS No trade / 12% / 60 months / 45 days
PASS No trade / 12% / 60 months / 90 days
PASS No trade / 12% / 60 months / 120 days
PASS No trade / 12% / 72 months / 30 days
PASS No trade / 12% / 72 months / 45 days
PASS No trade / 12% / 72 months / 90 days
PASS No trade / 12% / 72 months / 120 days
PASS No trade / 12% / 84 months / 30 days
PASS No trade / 12% / 84 months / 45 days
PASS No trade / 12% / 84 months / 90 days
PASS No trade / 12% / 84 months / 120 days
PASS No trade / 21.533% / 24 months / 30 days
PASS No trade / 21.533% / 24 months / 45 days
PASS No trade / 21.533% / 24 months / 90 days
PASS No trade / 21.533% / 24 months / 120 days
PASS No trade / 21.533% / 36 months / 30 days
PASS No trade / 21.533% / 36 months / 45 days
PASS No trade / 21.533% / 36 months / 90 days
PASS No trade / 21.533% / 36 months / 120 days
PASS No trade / 21.533% / 48 months / 30 days
PASS No trade / 21.533% / 48 months / 45 days
PASS No trade / 21.533% / 48 months / 90 days
PASS No trade / 21.533% / 48 months / 120 days
PASS No trade / 21.533% / 60 months / 30 days
PASS No trade / 21.533% / 60 months / 45 days
PASS No trade / 21.533% / 60 months / 90 days
PASS No trade / 21.533% / 60 months / 120 days
PASS No trade / 21.533% / 72 months / 30 days
PASS No trade / 21.533% / 72 months / 45 days
PASS No trade / 21.533% / 72 months / 90 days
PASS No trade / 21.533% / 72 months / 120 days
